batch_size,lr,leak_mem,num_steps,num_epochs,training_loss,testing_acc
128,0.2,0.995,5,5,0.042052417794863385,94.86177825927734
128,0.2,0.99,5,5,0.03651048603653908,94.90685081481934
128,0.2,0.985,5,5,0.04102483105659485,94.20072078704834
128,0.2,0.98,5,5,0.034903627713521325,95.59044456481934
128,0.2,0.995,10,5,0.022272866636514663,96.29657459259033
128,0.2,0.99,10,5,0.020072595318158467,96.41676616668701
128,0.2,0.985,10,5,0.02105189973115921,96.17638206481934
128,0.2,0.98,10,5,0.02939491136620442,95.39513206481934
128,0.2,0.995,25,5,0.01621199921766917,96.17638206481934
128,0.2,0.99,25,5,0.018160033792257307,96.37169456481934
128,0.2,0.985,25,5,0.015848925918340685,96.29657459259033
128,0.2,0.98,25,5,0.028798873315254846,95.78575706481934
128,0.2,0.995,50,5,0.02962856454650561,95.02704334259033
128,0.2,0.99,50,5,0.03316139640410741,96.22145366668701
128,0.2,0.985,50,5,0.020523180852333706,96.19891834259033
128,0.2,0.98,50,5,0.0235329692363739,95.56790828704834
128,0.2,0.995,5,10,0.014646467978755634,96.17638206481934
128,0.2,0.99,5,10,0.014458125082155068,96.05618953704834
128,0.2,0.985,5,10,0.013873398646712304,95.76322078704834
128,0.2,0.98,5,10,0.01349443798388044,95.78575706481934
128,0.2,0.995,10,10,0.007603419952094555,96.19891834259033
128,0.2,0.99,10,10,0.006666869038095077,96.12379741668701
128,0.2,0.985,10,10,0.006482355939224363,96.05618953704834
128,0.2,0.98,10,10,0.006746570625652869,96.27403831481934
128,0.2,0.995,25,10,0.005715105646600326,96.15384578704834
128,0.2,0.99,25,10,0.0065835240346690015,96.46935081481934
128,0.2,0.985,25,10,0.005729208209862312,96.05618953704834
128,0.2,0.98,25,10,0.005702532124395172,96.34164619445801
128,0.2,0.995,50,10,0.011624470333258311,95.88341331481934
128,0.2,0.99,50,10,0.010411123869319756,95.13221168518066
128,0.2,0.985,50,10,0.008099629245698452,96.27403831481934
128,0.2,0.98,50,10,0.007850288440783818,96.39423084259033
128,0.2,0.995,5,25,0.006074892836312453,96.78485584259033
128,0.2,0.99,5,25,0.004685705825065573,96.54447078704834
128,0.2,0.985,5,25,0.003871510859578848,97.46844959259033
128,0.2,0.98,5,25,0.005906291954840223,95.83834075927734
128,0.2,0.995,10,25,0.002437935912515968,97.46844959259033
128,0.2,0.99,10,25,0.003544588038387398,96.98016834259033
128,0.2,0.985,10,25,0.0022994781266897917,96.76231956481934
128,0.2,0.98,10,25,0.002141586541508635,96.95763206481934
128,0.2,0.995,25,25,0.0016143944825356205,97.07782459259033
128,0.2,0.99,25,25,0.001716770205957194,96.17638206481934
128,0.2,0.985,25,25,0.001550015291509529,96.85997581481934
128,0.2,0.98,25,25,0.001686385614797473,97.07782459259033
128,0.2,0.995,50,25,0.0030185512068370978,95.95853328704834
128,0.2,0.99,50,25,0.002710967338954409,95.92848491668701
128,0.2,0.985,50,25,0.0020477897990494967,97.00270366668701
128,0.2,0.98,50,25,0.002750497301109135,96.70973491668701
128,0.2,0.995,5,50,0.0028714544028043748,96.66466331481934
128,0.2,0.99,5,50,0.003312363888757924,96.68719959259033
128,0.2,0.985,5,50,0.0034047075435519217,97.07782459259033
128,0.2,0.98,5,50,0.00350030067935586,97.49098491668701
128,0.2,0.995,10,50,0.0016025738008320332,96.85997581481934
128,0.2,0.99,10,50,0.0017419919309516747,96.88251209259033
128,0.2,0.985,10,50,0.0016285174634928506,97.03275203704834
128,0.2,0.98,10,50,0.0017774312272667884,96.66466331481934
128,0.2,0.995,25,50,0.0010460930125166972,97.27313709259033
128,0.2,0.99,25,50,0.0012069130785142383,97.56610584259033
128,0.2,0.985,25,50,0.0013688485836610199,97.29567241668701
128,0.2,0.98,25,50,0.0011501847539717952,97.12289619445801
128,0.2,0.995,50,50,0.0023125241895516715,96.39423084259033
128,0.2,0.99,50,50,0.0015317975021898746,96.51442241668701
128,0.2,0.985,50,50,0.0019454291332513093,96.98016834259033
128,0.2,0.98,50,50,0.0014597490617694953,97.29567241668701
128,0.1,0.995,5,5,0.05258109666903814,94.17818450927734
128,0.1,0.99,5,5,0.048511174097657206,94.95943450927734
128,0.1,0.985,5,5,0.05160441673795382,94.83924293518066
128,0.1,0.98,5,5,0.05450288991133372,95.37259578704834
128,0.1,0.995,10,5,0.02615757311383883,95.95853328704834
128,0.1,0.99,10,5,0.028071185221274695,95.88341331481934
128,0.1,0.985,10,5,0.02491932275891304,95.49278831481934
128,0.1,0.98,10,5,0.02398197581867377,95.88341331481934
128,0.1,0.995,25,5,0.014733129536112149,96.27403831481934
128,0.1,0.99,25,5,0.0169925833940506,96.27403831481934
128,0.1,0.985,25,5,0.014854601569473743,96.49188709259033
128,0.1,0.98,25,5,0.015541756903131802,96.22145366668701
128,0.1,0.995,50,5,0.03034768239160379,95.66556453704834
128,0.1,0.99,50,5,0.02585290393481652,96.70973491668701
128,0.1,0.985,50,5,0.015287605032324791,96.95763206481934
128,0.1,0.98,50,5,0.02027246382335822,96.05618953704834
128,0.1,0.995,5,10,0.02432713122914235,95.98106956481934
128,0.1,0.99,5,10,0.02556759159763654,95.51532459259033
128,0.1,0.985,5,10,0.025987039029598237,94.90685081481934
128,0.1,0.98,5,10,0.026169263059894244,95.17728328704834
128,0.1,0.995,10,10,0.01140735263377428,96.657151222229
128,0.1,0.99,10,10,0.01031610070168972,96.95763206481934
128,0.1,0.985,10,10,0.01028162913521131,96.17638206481934
128,0.1,0.98,10,10,0.010596812556187312,96.19891834259033
128,0.1,0.995,25,10,0.006540919369707505,96.07872581481934
128,0.1,0.99,25,10,0.005401333587865035,96.88251209259033
128,0.1,0.985,25,10,0.0073743945881724355,96.68719959259033
128,0.1,0.98,25,10,0.005619747720658779,96.80739116668701
