batch_size,lr,num_epochs,training_loss,testing_acc
8,0.2,5,2.3025853633880615,14.1
8,0.2,10,2.3025846735636395,14.2
8,0.2,25,2.3025853633880615,12.8
8,0.2,50,2.3025853633880615,12.6
8,0.1,5,0.3219914060556863,95.4
8,0.1,10,0.0912087817544816,97.3
8,0.1,25,0.27978069786498055,94.6
8,0.1,50,0.028930567174388064,97.4
8,0.05,5,0.12055658010435097,97.4
8,0.05,10,0.041105321018362395,97.9
8,0.05,25,0.030930139987310517,97.0
8,0.05,50,0.00650336594931711,97.8
8,0.01,5,0.07587691179696897,96.5
8,0.01,10,0.025586493979314884,97.4
8,0.01,25,0.009409777414948622,98.1
8,0.01,50,0.00458225479201307,98.1
16,0.2,5,0.1887615922834181,94.24603174603175
16,0.2,10,0.04710444363841088,97.32142857142857
16,0.2,25,0.14549235595940976,94.7420634920635
16,0.2,50,0.007836314626438556,97.42063492063492
16,0.1,5,0.07311475078148456,96.03174603174604
16,0.1,10,0.01720621444458569,97.91666666666667
16,0.1,25,0.01348168531736883,96.32936507936508
16,0.1,50,0.0015023818762468484,98.01587301587301
16,0.05,5,0.04510596993608245,97.22222222222223
16,0.05,10,0.008189336942605829,97.61904761904762
16,0.05,25,0.0049964894437677385,97.61904761904762
16,0.05,50,0.0017575051214080305,97.32142857142857
16,0.01,5,0.028894084020478963,96.92460317460318
16,0.01,10,0.008466155497842314,97.71825396825396
16,0.01,25,0.002192590609517841,97.32142857142857
16,0.01,50,0.0015880495259674111,97.51984126984127
32,0.2,5,0.042181460184355576,96.484375
32,0.2,10,0.006679013414153208,97.65625
32,0.2,25,0.0023661654253955933,97.55859375
32,0.2,50,0.001432979664299637,97.65625
32,0.1,5,0.03210440406389534,98.046875
32,0.1,10,0.005500151255090411,97.0703125
32,0.1,25,0.001451367932371795,97.8515625
32,0.1,50,0.001014844198982852,97.94921875
32,0.05,5,0.01835628386059155,97.94921875
32,0.05,10,0.005273710513099407,97.4609375
32,0.05,25,0.0013586521418183111,97.265625
32,0.05,50,0.0008377956060382228,97.55859375
32,0.01,5,0.009171716404457887,97.65625
32,0.01,10,0.00465831914000834,97.36328125
32,0.01,25,0.0009633309094933792,96.97265625
32,0.01,50,0.0013088379825931043,98.046875
64,0.2,5,0.013426842910548051,97.109375
64,0.2,10,0.0036813244273265202,97.890625
64,0.2,25,0.001538063573030134,97.8515625
64,0.2,50,0.0009377441915373008,97.3046875
64,0.1,5,0.013452279475828012,97.109375
64,0.1,10,0.003508189515521129,97.5
64,0.1,25,0.0007620335485165317,97.40234375
64,0.1,50,0.0007590500160586089,97.20703125
64,0.05,5,0.009959706703821817,96.81640625
64,0.05,10,0.0034416321211804945,97.40234375
64,0.05,25,0.0008722142786718905,97.4609375
64,0.05,50,0.0006948443702422082,97.98828125
64,0.01,5,0.008909027136862278,96.71875
64,0.01,10,0.004143147304654121,96.23046875
64,0.01,25,0.0014603184092169008,97.59765625
64,0.01,50,0.0012150095142424106,97.20703125
