batch_size,lr,leak_mem,num_steps,num_epochs,training_loss,testing_acc
32,0.2,0.995,5,5,0.0990487921275198,94.82421875
32,0.2,0.99,5,5,0.0898484694426879,94.921875
32,0.2,0.985,5,5,0.0757660118785376,95.3125
32,0.2,0.98,5,5,0.0835705746616392,94.23828125
32,0.2,0.995,10,5,0.0607008186971652,94.43359375
32,0.2,0.99,10,5,0.0770236673468122,95.21484375
32,0.2,0.985,10,5,0.0636018260911029,95.80078125
32,0.2,0.98,10,5,0.0880895036334792,94.62890625
32,0.2,0.995,25,5,0.1102670746863198,95.80078125
32,0.2,0.99,25,5,0.0907046240329509,95.80078125
32,0.2,0.985,25,5,0.0927202373434362,95.01953125
32,0.2,0.98,25,5,0.0688593913460693,96.19140625
32,0.2,0.995,50,5,0.0728154922430403,94.23828125
32,0.2,0.99,50,5,0.0699249671929671,94.921875
32,0.2,0.985,50,5,0.0809348246408626,94.921875
32,0.2,0.98,50,5,0.0787421653209409,94.3359375
32,0.2,0.995,5,5,0.0990487921275198,94.82421875
32,0.2,0.99,5,5,0.0898484694426879,94.921875
32,0.2,0.985,5,5,0.0757660118785376,95.3125
32,0.2,0.98,5,5,0.0835705746616392,94.23828125
32,0.2,0.995,10,5,0.0607008186971652,94.43359375
32,0.2,0.99,10,5,0.0770236673468122,95.21484375
32,0.2,0.985,10,5,0.0636018260911029,95.80078125
32,0.2,0.98,10,5,0.0880895036334792,94.62890625
32,0.2,0.995,25,5,0.1102670746863198,95.80078125
32,0.2,0.99,25,5,0.0907046240329509,95.80078125
32,0.2,0.985,25,5,0.0927202373434362,95.01953125
32,0.2,0.98,25,5,0.0688593913460693,96.19140625
32,0.2,0.995,50,5,0.0728154922430403,94.23828125
32,0.2,0.99,50,5,0.0699249671929671,94.921875
32,0.2,0.985,50,5,0.0809348246408626,94.921875
32,0.2,0.98,50,5,0.0787421653209409,94.3359375
32,0.2,0.995,5,10,0.0182501218417892,95.8984375
32,0.2,0.99,5,10,0.0147143745076997,96.58203125
